Start,Energy
2019-04-06,234.219
2019-04-07,82.016
2019-04-08,1611.538
2019-04-09,1415.184
2019-04-10,1520.556
2019-04-11,1477.929
2019-04-12,849.722
2019-04-13,281.194
2019-04-14,104.41799999999999
2019-04-15,1748.535
2019-04-16,1534.739
2019-04-17,1235.772
2019-04-18,1401.134
2019-04-19,1493.987
2019-04-20,121.742
2019-04-21,193.687
2019-04-22,1569.882
2019-04-23,1422.515
2019-04-24,1555.27
2019-04-25,1384.935
2019-04-26,782.8149999999999
2019-04-27,161.438
2019-04-28,118.696
2019-04-29,1474.374
2019-04-30,1583.126
2019-05-01,1599.189
2019-05-02,1451.856523297
2019-05-03,1454.584
2019-05-04,178.575
2019-05-05,134.90800000000002
2019-05-06,1707.165
2019-05-07,1351.544
2019-05-08,1468.277
2019-05-09,1392.585
2019-05-10,825.293
2019-05-11,202.02700000000002
2019-05-12,177.413
2019-05-13,1830.265
2019-05-14,1398.857
2019-05-15,1634.774227219
2019-05-16,1425.191834722
2019-05-17,1358.063
2019-05-18,228.91323555600002
2019-05-19,231.451243889
2019-05-20,1470.496
2019-05-21,1515.148
2019-05-22,1440.128
2019-05-23,1275.743400556
2019-05-24,695.166091667
2019-05-25,102.035
2019-05-26,161.969
2019-05-27,215.526
2019-05-28,1285.047
2019-05-29,1231.318
2019-05-30,1344.052029167
2019-05-31,1316.463641944
2019-06-01,169.425
2019-06-02,162.79
2019-06-03,1519.866
2019-06-04,1239.943
2019-06-05,1387.134
2019-06-06,1305.049976105
2019-06-07,606.90572139
2019-06-08,134.415
2019-06-09,187.36700000000002
2019-06-10,1565.261
2019-06-11,1405.831
2019-06-12,1349.420613333
2019-06-13,1321.565747778
2019-06-14,1347.538
2019-06-15,51.672
2019-06-16,22.298000000000002
2019-06-17,1091.8
2019-06-18,957.116
2019-06-19,1055.045
2019-06-20,1023.345
2019-06-21,471.2066775
2019-06-22,79.63499999999999
2019-06-23,88.194
2019-06-24,1206.071
2019-06-25,850.43
2019-06-26,1165.196
2019-06-27,1090.211
2019-06-28,1360.977
2019-06-29,26.45016
2019-06-30,68.294
2019-07-01,1493.234
2019-07-02,1366.21995
2019-07-03,572.261
2019-07-04,72.852
2019-07-05,262.071
2019-07-06,32.95
2019-07-07,154.313
2019-07-08,1483.469220837
2019-07-09,1342.041
2019-07-10,1367.36968
2019-07-11,1389.419
2019-07-12,1430.53999861
2019-07-13,171.586398602
2019-07-14,82.251
2019-07-15,1359.136248889
2019-07-16,1469.77
2019-07-17,1426.282
2019-07-18,1559.992911333
2019-07-19,573.494
2019-07-20,100.269
2019-07-21,91.92699999999999
2019-07-22,1594.16538111
2019-07-23,1236.638086387
2019-07-24,1602.83
2019-07-25,1448.469206111
2019-07-26,1340.72883167
2019-07-27,168.291
2019-07-28,129.02
2019-07-29,1410.67079889
2019-07-30,1231.545
2019-07-31,1186.425
2019-08-01,1379.17421147
2019-08-02,688.152855
2019-08-03,146.178
2019-08-04,101.649
2019-08-05,1411.133
2019-08-06,1321.479
2019-08-07,1378.599594021
2019-08-08,1635.5074858360001
2019-08-09,1335.087
2019-08-10,209.397
2019-08-11,63.131
2019-08-12,1599.304725
2019-08-13,1372.05728639
2019-08-14,1527.428
2019-08-15,1380.262
2019-08-16,621.174
2019-08-17,35.659
2019-08-18,147.965
2019-08-19,1609.097176225
